"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"1400000US18105001002","Census Tract 10.02, Monroe County, Indiana","4095","323","97","63","477","179","902","237","1259","262","1360","229","3304","309","97","63","428","170","752","220","945","225","1082","196","391","239","0","89","41","64","95","90","212","164","43","42","88","58","0","89","8","12","8","16","37","36","35","35","276","145","0","89","0","89","11","18","65","52","200","123","36","55","0","89","0","89","36","55","0","89","0","89",
"1400000US18105001101","Census Tract 11.01, Monroe County, Indiana","3077","325","284","119","763","240","771","197","588","165","671","168","2111","289","239","112","453","149","481","151","447","128","491","153","756","240","45","38","242","187","245","131","95","78","129","90","78","60","0","89","33","35","45","52","0","89","0","89","132","78","0","89","35","41","0","89","46","40","51","37","0","89","0","89","0","89","0","89","0","89","0","89",
"1400000US18105001102","Census Tract 11.02, Monroe County, Indiana","2665","273","305","153","561","162","813","218","602","152","384","110","2024","212","216","109","447","146","542","166","521","148","298","96","347","146","31","39","84","66","155","100","35","35","42","44","159","105","58","83","17","20","61","70","23","26","0","89","107","81","0","89","0","89","48","62","15","26","44","45","28","33","0","89","13","20","7","11","8","12","0","89",
"1400000US18105001103","Census Tract 11.03, Monroe County, Indiana","2031","187","133","59","795","185","568","132","384","136","151","79","1935","196","126","58","755","181","527","127","376","134","151","79","79","65","7","11","40","48","32","41","0","89","0","89","17","29","0","89","0","89","9","15","8","14","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89",
"1400000US18105001200","Census Tract 12, Monroe County, Indiana","3802","251","385","130","1512","216","1153","188","436","135","316","129","3608","258","361","121","1511","216","1022","204","411","129","303","126","42","40","0","89","1","3","41","39","0","89","0","89","104","61","24","40","0","89","69","60","11","18","0","89","48","51","0","89","0","89","21","26","14","24","13","22","0","89","0","89","0","89","0","89","0","89","0","89",
"1400000US18105001301","Census Tract 13.01, Monroe County, Indiana","3731","286","547","168","1745","266","916","217","300","128","223","117","3474","266","534","165","1641","256","810","199","284","126","205","115","137","98","13","21","48","47","42","41","16","21","18","25","95","94","0","89","31","38","64","85","0","89","0","89","25","42","0","89","25","42","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89",
"1400000US18105001303","Census Tract 13.03, Monroe County, Indiana","3678","250","329","120","1155","236","899","164","831","172","464","150","3237","234","238","85","1082","221","856","165","704","176","357","125","289","155","91","81","54","65","27","27","66","48","51","67","68","60","0","89","19","25","16","27","28","31","5","10","62","53","0","89","0","89","0","89","33","36","29","28","22","31","0","89","0","89","0","89","0","89","22","31",
"1400000US18105001304","Census Tract 13.04, Monroe County, Indiana","2577","257","134","68","950","175","874","160","364","147","255","102","2197","245","111","62","866","172","739","143","237","107","244","101","214","120","14","24","37","36","74","60","89","79","0","89","142","95","9","15","47","47","54","47","32","34","0","89","24","26","0","89","0","89","7","11","6","10","11","17","0","89","0","89","0","89","0","89","0","89","0","89",
"1400000US18105001305","Census Tract 13.05, Monroe County, Indiana","1800","186","158","87","520","137","529","113","475","187","118","53","1549","165","114","75","441","117","442","111","445","184","107","50","152","79","44","37","59","36","26","26","12","19","11","18","37","40","0","89","20","30","7","12","10","13","0","89","54","56","0","89","0","89","54","56","0","89","0","89","8","12","0","89","0","89","0","89","8","12","0","89",
"1400000US18105001401","Census Tract 14.01, Monroe County, Indiana","1726","191","91","52","576","157","551","150","301","95","207","80","1595","205","71","43","555","159","464","141","298","96","207","80","54","54","0","89","17","22","37","48","0","89","0","89","77","78","20","32","4","10","50","54","3","8","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89","0","89",
"1400000US18105001402","Census Tract 14.02, Monroe County, Indiana","3867","242","459","205","945","213","983","191","761","187","719","191","3657","244","441","194","935","211","932","192","670","180","679","175","141","108","17","27","0","89","34","50","69","60","21","19","45","54","0","89","10","15","17","30","10","17","8","54","13","19","1","2","0","89","0","89","12","19","0","89","11","19","0","89","0","89","0","89","0","89","11","19",
"1400000US18105001501","Census Tract 15.01, Monroe County, Indiana","3527","242","585","261","966","220","937","203","580","158","459","145","3317","267","585","261","966","220","823","175","522","148","421","137","171","154","0","89","0","89","114","137","34","37","23","38","15","23","0","89","0","89","0","89","0","89","15","23","24","38","0","89","0","89","0","89","24","38","0","89","0","89","0","89","0","89","0","89","0","89","0","89",
"1400000US18105001502","Census Tract 15.02, Monroe County, Indiana","1758","229","225","109","435","191","608","173","227","81","263","110","1478","215","190","92","370","137","509","158","179","73","230","104","46","59","0","89","0","89","46","59","0","89","0","89","179","129","35","42","65","82","40","49","20","32","19","32","55","53","0","89","0","89","13","22","28","32","14","22","0","89","0","89","0","89","0","89","0","89","0","89",
"1400000US18105001600","Census Tract 16, Monroe County, Indiana","505","196","18","30","72","56","120","90","232","159","63","53","330","127","7","23","22","23","106","78","132","88","63","53","68","58","11","18","18","27","14","23","25","30","0","89","17","21","0","89","17","21","0","89","0","89","0","89","90","123","0","89","15","24","0","89","75","120","0","89","0","89","0","89","0","89","0","89","0","89","0","89",
