"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Same house 1 year ago:","Margin of Error!!Total:!!Same house 1 year ago:","Estimate!!Total:!!Same house 1 year ago:!!Less than high school graduate","Margin of Error!!Total:!!Same house 1 year ago:!!Less than high school graduate","Estimate!!Total:!!Same house 1 year ago:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Same house 1 year ago:!!High school graduate (includes equivalency)","Estimate!!Total:!!Same house 1 year ago:!!Some college or associate's degree","Margin of Error!!Total:!!Same house 1 year ago:!!Some college or associate's degree","Estimate!!Total:!!Same house 1 year ago:!!Bachelor's degree","Margin of Error!!Total:!!Same house 1 year ago:!!Bachelor's degree","Estimate!!Total:!!Same house 1 year ago:!!Graduate or professional degree","Margin of Error!!Total:!!Same house 1 year ago:!!Graduate or professional degree","Estimate!!Total:!!Moved within same county:","Margin of Error!!Total:!!Moved within same county:","Estimate!!Total:!!Moved within same county:!!Less than high school graduate","Margin of Error!!Total:!!Moved within same county:!!Less than high school graduate","Estimate!!Total:!!Moved within same county:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved within same county:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved within same county:!!Some college or associate's degree","Margin of Error!!Total:!!Moved within same county:!!Some college or associate's degree","Estimate!!Total:!!Moved within same county:!!Bachelor's degree","Margin of Error!!Total:!!Moved within same county:!!Bachelor's degree","Estimate!!Total:!!Moved within same county:!!Graduate or professional degree","Margin of Error!!Total:!!Moved within same county:!!Graduate or professional degree","Estimate!!Total:!!Moved from different county within same state:","Margin of Error!!Total:!!Moved from different county within same state:","Estimate!!Total:!!Moved from different county within same state:!!Less than high school graduate","Margin of Error!!Total:!!Moved from different county within same state:!!Less than high school graduate","Estimate!!Total:!!Moved from different county within same state:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from different county within same state:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from different county within same state:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from different county within same state:!!Some college or associate's degree","Estimate!!Total:!!Moved from different county within same state:!!Bachelor's degree","Margin of Error!!Total:!!Moved from different county within same state:!!Bachelor's degree","Estimate!!Total:!!Moved from different county within same state:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from different county within same state:!!Graduate or professional degree","Estimate!!Total:!!Moved from different state:","Margin of Error!!Total:!!Moved from different state:","Estimate!!Total:!!Moved from different state:!!Less than high school graduate","Margin of Error!!Total:!!Moved from different state:!!Less than high school graduate","Estimate!!Total:!!Moved from different state:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from different state:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from different state:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from different state:!!Some college or associate's degree","Estimate!!Total:!!Moved from different state:!!Bachelor's degree","Margin of Error!!Total:!!Moved from different state:!!Bachelor's degree","Estimate!!Total:!!Moved from different state:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from different state:!!Graduate or professional degree","Estimate!!Total:!!Moved from abroad:","Margin of Error!!Total:!!Moved from abroad:","Estimate!!Total:!!Moved from abroad:!!Less than high school graduate","Margin of Error!!Total:!!Moved from abroad:!!Less than high school graduate","Estimate!!Total:!!Moved from abroad:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from abroad:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from abroad:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from abroad:!!Some college or associate's degree","Estimate!!Total:!!Moved from abroad:!!Bachelor's degree","Margin of Error!!Total:!!Moved from abroad:!!Bachelor's degree","Estimate!!Total:!!Moved from abroad:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from abroad:!!Graduate or professional degree",
"0500000US18105","Monroe County, Indiana","83104","79","4299","637","17806","1069","20178","905","19639","1028","21182","1124","70939","1030","3509","577","15642","995","17259","916","16360","958","18169","1083","7275","786","410","197","1413","360","1743","383","2023","358","1686","386","2204","417","150","114","455","176","798","269","447","184","354","145","2135","470","154","119","201","128","329","161","704","250","747","246","551","198","76","57","95","84","49","41","105","71","226","114",
"1400000US18105000903","Census Tract 9.03; Monroe County; Indiana","3052","415","64","52","582","264","586","191","1049","334","771","262","2360","385","53","48","281","124","461","166","895","299","670","232","511","277","0","13","195","197","96","100","154","150","66","77","68","87","11","17","57","90","0","13","0","13","0","13","51","49","0","13","0","13","29","34","0","13","22","36","62","78","0","13","49","65","0","13","0","13","13","23",
"1400000US18105000904","Census Tract 9.04; Monroe County; Indiana","2698","368","82","61","146","73","685","288","611","189","1174","278","2416","356","69","57","132","70","595","277","517","179","1103","276","127","102","0","18","14","23","27","33","58","83","28","34","50","35","0","18","0","18","18","28","20","32","12","24","61","61","0","18","0","18","45","56","16","24","0","18","44","55","13","22","0","18","0","18","0","18","31","50",
"1400000US18105001001","Census Tract 10.01; Monroe County; Indiana","3629","555","63","41","200","96","337","132","777","231","2252","464","3064","523","44","34","166","91","255","116","528","181","2071","474","299","179","0","18","34","42","13","19","187","131","65","66","79","72","0","18","0","18","52","65","0","18","27","37","155","134","0","18","0","18","17","26","57","75","81","95","32","35","19","28","0","18","0","18","5","9","8","14",
"1400000US18105001002","Census Tract 10.02; Monroe County; Indiana","4992","496","257","139","669","246","831","240","1222","258","2013","452","4243","463","173","119","529","182","785","240","1037","240","1719","414","407","215","0","18","100","145","18","30","94","73","195","140","126","82","16","25","21","35","28","45","21","32","40","49","164","124","68","102","19","32","0","18","43","67","34","38","52","71","0","18","0","18","0","18","27","43","25","30",
"1400000US18105001101","Census Tract 11.01; Monroe County; Indiana","3738","586","137","106","812","425","1093","288","921","239","775","241","3543","597","137","106","810","425","1018","294","859","227","719","237","54","43","0","18","2","5","0","18","25","28","27","32","48","69","0","18","0","18","48","69","0","18","0","18","80","79","0","18","0","18","27","49","37","48","16","26","13","20","0","18","0","18","0","18","0","18","13","20",
"1400000US18105001102","Census Tract 11.02; Monroe County; Indiana","3134","293","169","97","632","188","699","181","951","166","683","216","2344","333","65","56","397","164","540","163","761","154","581","199","628","204","98","83","187","99","141","72","144","83","58","64","94","63","6","17","48","54","18","21","22","27","0","13","56","42","0","13","0","13","0","13","24","23","32","24","12","19","0","13","0","13","0","13","0","13","12","19",
"1400000US18105001103","Census Tract 11.03; Monroe County; Indiana","2347","394","260","140","794","353","591","175","513","121","189","79","2133","388","206","119","725","363","560","175","468","110","174","78","136","136","54","75","62","66","20","28","0","13","0","13","71","63","0","13","0","13","11","19","45","50","15","22","7","12","0","13","7","12","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105001200","Census Tract 12; Monroe County; Indiana","4369","482","444","256","1825","369","1079","330","658","200","363","141","4189","496","424","268","1748","351","1039","323","615","200","363","141","179","120","19","33","77","74","40","39","43","72","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","1","2","1","2","0","18","0","18","0","18","0","18",
"1400000US18105001301","Census Tract 13.01; Monroe County; Indiana","4035","286","262","134","1431","270","1074","274","751","221","517","212","3320","356","262","134","1334","281","750","201","593","206","381","183","483","272","0","18","97","82","224","180","95","97","67","85","100","141","0","18","0","18","100","141","0","18","0","18","132","171","0","18","0","18","0","18","63","82","69","89","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US18105001303","Census Tract 13.03; Monroe County; Indiana","4001","394","67","62","902","279","1139","228","1065","289","828","271","3565","365","67","62","806","268","1056","235","936","280","700","248","215","126","0","18","63","81","25","27","84","75","43","44","90","80","0","18","33","38","36","59","0","18","21","33","131","119","0","18","0","18","22","37","45","54","64","77","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US18105001304","Census Tract 13.04; Monroe County; Indiana","2923","277","84","52","748","146","1321","321","574","143","196","76","2565","318","84","52","677","146","1143","327","485","135","176","75","325","128","0","13","54","35","178","97","79","58","14","23","17","19","0","13","17","19","0","13","0","13","0","13","16","32","0","13","0","13","0","13","10","23","6","11","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105001305","Census Tract 13.05; Monroe County; Indiana","1847","289","101","66","449","156","510","128","450","108","337","95","1688","274","94","64","402","142","459","125","420","104","313","91","112","63","0","13","26","35","51","38","11","15","24","22","22","24","7","16","15","24","0","13","0","13","0","13","25","28","0","13","6","10","0","13","19","20","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105001401","Census Tract 14.01; Monroe County; Indiana","1315","298","54","31","460","131","380","131","266","85","155","57","1185","282","54","31","437","124","341","128","225","76","128","47","67","43","0","13","0","13","35","28","26","25","6","9","45","43","0","13","23","23","0","13","11","15","11","16","18","21","0","13","0","13","4","6","4","6","10","18","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105001403","Census Tract 14.03; Monroe County; Indiana","2611","605","250","288","406","149","735","346","606","173","614","172","2343","445","250","288","404","149","500","185","590","173","599","168","81","65","0","13","2","5","68","59","11","18","0","13","167","187","0","13","0","13","167","187","0","13","0","13","20","30","0","13","0","13","0","13","5","8","15","23","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105001404","Census Tract 14.04; Monroe County; Indiana","1360","183","84","47","336","131","471","146","270","81","199","143","1188","189","79","47","284","118","450","144","234","80","141","91","103","56","5","8","46","38","7","11","18","28","27","47","66","59","0","13","6","11","11","12","18","28","31","32","3","7","0","13","0","13","3","7","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105001501","Census Tract 15.01; Monroe County; Indiana","4231","368","233","150","924","238","1336","351","953","361","785","235","4001","409","222","155","852","232","1295","350","919","345","713","253","124","110","0","18","0","18","18","27","34","48","72","66","0","18","0","18","0","18","0","18","0","18","0","18","106","125","11","19","72","91","23","31","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US18105001502","Census Tract 15.02; Monroe County; Indiana","2067","350","137","84","524","184","667","164","323","131","416","130","1878","324","137","84","479","171","599","146","303","128","360","123","57","41","0","13","19","20","10","12","0","13","28","31","83","59","0","13","26","30","32","35","20","32","5","12","49","75","0","13","0","13","26","39","0","13","23","36","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105001600","Census Tract 16; Monroe County; Indiana","607","236","0","18","198","143","169","119","103","66","137","95","378","179","0","18","148","128","70","78","86","66","74","55","76","66","0","18","23","40","42","51","0","18","11","19","45","56","0","18","27","42","18","30","0","18","0","18","108","106","0","18","0","18","39","65","17","28","52","76","0","18","0","18","0","18","0","18","0","18","0","18",
