"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Same house 1 year ago:","Margin of Error!!Total:!!Same house 1 year ago:","Estimate!!Total:!!Same house 1 year ago:!!Less than high school graduate","Margin of Error!!Total:!!Same house 1 year ago:!!Less than high school graduate","Estimate!!Total:!!Same house 1 year ago:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Same house 1 year ago:!!High school graduate (includes equivalency)","Estimate!!Total:!!Same house 1 year ago:!!Some college or associate's degree","Margin of Error!!Total:!!Same house 1 year ago:!!Some college or associate's degree","Estimate!!Total:!!Same house 1 year ago:!!Bachelor's degree","Margin of Error!!Total:!!Same house 1 year ago:!!Bachelor's degree","Estimate!!Total:!!Same house 1 year ago:!!Graduate or professional degree","Margin of Error!!Total:!!Same house 1 year ago:!!Graduate or professional degree","Estimate!!Total:!!Moved within same county:","Margin of Error!!Total:!!Moved within same county:","Estimate!!Total:!!Moved within same county:!!Less than high school graduate","Margin of Error!!Total:!!Moved within same county:!!Less than high school graduate","Estimate!!Total:!!Moved within same county:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved within same county:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved within same county:!!Some college or associate's degree","Margin of Error!!Total:!!Moved within same county:!!Some college or associate's degree","Estimate!!Total:!!Moved within same county:!!Bachelor's degree","Margin of Error!!Total:!!Moved within same county:!!Bachelor's degree","Estimate!!Total:!!Moved within same county:!!Graduate or professional degree","Margin of Error!!Total:!!Moved within same county:!!Graduate or professional degree","Estimate!!Total:!!Moved from different county within same state:","Margin of Error!!Total:!!Moved from different county within same state:","Estimate!!Total:!!Moved from different county within same state:!!Less than high school graduate","Margin of Error!!Total:!!Moved from different county within same state:!!Less than high school graduate","Estimate!!Total:!!Moved from different county within same state:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from different county within same state:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from different county within same state:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from different county within same state:!!Some college or associate's degree","Estimate!!Total:!!Moved from different county within same state:!!Bachelor's degree","Margin of Error!!Total:!!Moved from different county within same state:!!Bachelor's degree","Estimate!!Total:!!Moved from different county within same state:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from different county within same state:!!Graduate or professional degree","Estimate!!Total:!!Moved from different state:","Margin of Error!!Total:!!Moved from different state:","Estimate!!Total:!!Moved from different state:!!Less than high school graduate","Margin of Error!!Total:!!Moved from different state:!!Less than high school graduate","Estimate!!Total:!!Moved from different state:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from different state:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from different state:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from different state:!!Some college or associate's degree","Estimate!!Total:!!Moved from different state:!!Bachelor's degree","Margin of Error!!Total:!!Moved from different state:!!Bachelor's degree","Estimate!!Total:!!Moved from different state:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from different state:!!Graduate or professional degree","Estimate!!Total:!!Moved from abroad:","Margin of Error!!Total:!!Moved from abroad:","Estimate!!Total:!!Moved from abroad:!!Less than high school graduate","Margin of Error!!Total:!!Moved from abroad:!!Less than high school graduate","Estimate!!Total:!!Moved from abroad:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from abroad:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from abroad:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from abroad:!!Some college or associate's degree","Estimate!!Total:!!Moved from abroad:!!Bachelor's degree","Margin of Error!!Total:!!Moved from abroad:!!Bachelor's degree","Estimate!!Total:!!Moved from abroad:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from abroad:!!Graduate or professional degree",
"0500000US18105","Monroe County, Indiana","82493","126","4406","583","17646","949","20677","1076","19900","1036","19864","975","69493","922","3651","526","15155","877","17291","1012","16186","940","17210","970","8275","757","446","165","1657","392","2221","410","2419","390","1532","324","2334","503","120","56","523","159","771","291","634","234","286","115","1908","358","95","100","237","145","357","152","564","163","655","197","483","174","94","83","74","58","37","38","97","68","181","98",
"1400000US18105000100","Census Tract 1; Monroe County; Indiana","1233","223","89","39","220","82","145","73","484","171","295","118","718","206","23","24","94","59","53","56","381","156","167","85","176","84","16","17","24","27","54","44","46","46","36","44","195","114","50","37","62","42","21","17","0","13","62","65","127","99","0","13","40","45","0","13","57","54","30","38","17","27","0","13","0","13","17","27","0","13","0","13",
"1400000US18105000201","Census Tract 2.01; Monroe County; Indiana","362","131","4","5","12","18","52","35","239","108","55","32","334","128","2","3","12","18","46","32","231","108","43","28","15","20","2","4","0","13","6","11","0","13","7","11","4","6","0","13","0","13","0","13","4","6","0","13","1","4","0","13","0","13","0","13","0","13","1","4","8","9","0","13","0","13","0","13","4","7","4","6",
"1400000US18105000202","Census Tract 2.02; Monroe County; Indiana","115","59","0","18","6","7","30","38","36","39","43","28","87","58","0","18","3","5","25","37","36","39","23","24","20","22","0","18","0","18","0","18","0","18","20","22","8","12","0","18","3","5","5","8","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US18105000301","Census Tract 3.01; Monroe County; Indiana","1961","331","94","97","219","92","219","96","596","178","833","203","1463","275","82","95","172","80","154","79","507","166","548","150","309","159","0","13","18","18","57","46","46","38","188","121","37","45","0","13","0","13","8","14","29","49","0","13","58","69","0","13","0","13","0","13","0","13","58","69","94","65","12","15","29","45","0","13","14","22","39","48",
"1400000US18105000302","Census Tract 3.02; Monroe County; Indiana","1808","321","17","23","193","120","75","77","431","188","1092","291","1525","287","17","23","193","120","70","76","254","93","991","285","170","159","0","13","0","13","0","13","129","158","41","36","16","21","0","13","0","13","5","9","0","13","11","15","50","38","0","13","0","13","0","13","34","33","16","18","47","48","0","13","0","13","0","13","14","25","33","40",
"1400000US18105000401","Census Tract 4.01; Monroe County; Indiana","2417","339","97","69","632","227","443","141","695","195","550","195","2128","311","96","69","569","221","417","143","555","179","491","182","130","107","0","13","15","22","10","16","58","72","47","75","65","68","1","2","29","50","1","3","22","27","12","20","75","78","0","13","0","13","15","25","60","76","0","13","19","29","0","13","19","29","0","13","0","13","0","13",
"1400000US18105000402","Census Tract 4.02; Monroe County; Indiana","3173","454","210","166","523","212","715","253","1160","301","565","190","2165","418","177","171","413","215","435","175","703","243","437","155","702","287","24","31","77","55","246","206","308","186","47","48","191","163","9","18","33","52","14","23","106","140","29","48","115","97","0","18","0","18","20","34","43","51","52","51","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US18105000501","Census Tract 5.01; Monroe County; Indiana","3474","411","234","122","900","269","1037","363","814","227","489","215","3016","424","155","91","819","278","840","321","720","221","482","210","387","217","79","83","61","36","178","144","62","59","7","17","71","75","0","13","20","40","19","24","32","47","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105000502","Census Tract 5.02; Monroe County; Indiana","2287","285","170","81","765","207","677","145","460","137","215","114","2064","267","114","66","674","183","667","144","397","121","212","115","179","104","46","49","72","47","10","15","48","46","3","5","27","32","0","13","19","29","0","13","8","13","0","13","17","19","10","15","0","13","0","13","7","11","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105000601","Census Tract 6.01; Monroe County; Indiana","2387","388","127","50","496","127","583","267","578","146","603","156","1954","356","98","49","366","117","539","267","462","131","489","130","337","140","19","19","112","62","40","41","92","76","74","91","77","60","10","16","18","20","0","13","17","21","32","50","19","28","0","13","0","13","4","9","7","11","8","16","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105000602","Census Tract 6.02; Monroe County; Indiana","1858","274","193","88","645","143","654","204","244","111","122","69","1478","287","154","80","506","138","550","190","172","88","96","61","246","132","22","21","91","92","64","54","43","36","26","38","57","54","17","19","11","16","0","13","29","47","0","13","77","80","0","13","37","52","40","63","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105000700","Census Tract 7; Monroe County; Indiana","2285","267","95","59","318","129","785","259","565","188","522","162","1936","279","75","50","279","113","635","181","446","172","501","168","95","76","0","13","27","26","11","20","52","65","5","8","171","149","0","13","12","20","128","141","31","32","0","13","52","49","0","13","0","13","0","13","36","43","16","27","31","47","20","31","0","13","11","17","0","13","0","13",
"1400000US18105000801","Census Tract 8.01; Monroe County; Indiana","2064","388","34","51","311","193","386","178","400","142","933","379","1791","394","0","13","187","104","372","176","330","121","902","373","272","192","34","51","124","159","14","25","69","68","31","36","0","13","0","13","0","13","0","13","0","13","0","13","1","2","0","13","0","13","0","13","1","2","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105000802","Census Tract 8.02; Monroe County; Indiana","2401","358","64","47","416","196","328","133","536","150","1057","314","1819","313","64","47","389","197","242","98","301","111","823","224","365","220","0","13","14","22","75","76","110","87","166","190","44","44","0","13","13","23","11","18","20","32","0","13","119","96","0","13","0","13","0","13","69","63","50","51","54","65","0","13","0","13","0","13","36","44","18","29",
"1400000US18105000901","Census Tract 9.01; Monroe County; Indiana","1308","191","46","37","83","52","196","113","399","127","584","165","1115","186","29","30","81","52","169","110","346","104","490","153","156","92","17","23","1","3","14","24","42","45","82","65","1","3","0","13","1","3","0","13","0","13","0","13","36","42","0","13","0","13","13","19","11","18","12","19","0","13","0","13","0","13","0","13","0","13","0","13",
