"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C02_001E","S1902_C02_001M","S1902_C01_002E","S1902_C01_002M","S1902_C02_002E","S1902_C02_002M","S1902_C01_003E","S1902_C01_003M","S1902_C02_003E","S1902_C02_003M","S1902_C01_004E","S1902_C01_004M","S1902_C02_004E","S1902_C02_004M","S1902_C01_005E","S1902_C01_005M","S1902_C02_005E","S1902_C02_005M","S1902_C01_006E","S1902_C01_006M","S1902_C02_006E","S1902_C02_006M","S1902_C01_007E","S1902_C01_007M","S1902_C02_007E","S1902_C02_007M","S1902_C01_008E","S1902_C01_008M","S1902_C02_008E","S1902_C02_008M","S1902_C01_009E","S1902_C01_009M","S1902_C02_009E","S1902_C02_009M","S1902_C01_010E","S1902_C01_010M","S1902_C02_010E","S1902_C02_010M","S1902_C01_011E","S1902_C01_011M","S1902_C02_011E","S1902_C02_011M","S1902_C01_012E","S1902_C01_012M","S1902_C02_012E","S1902_C02_012M","S1902_C01_013E","S1902_C01_013M","S1902_C02_013E","S1902_C02_013M","S1902_C01_014E","S1902_C01_014M","S1902_C02_014E","S1902_C02_014M","S1902_C01_015E","S1902_C01_015M","S1902_C02_015E","S1902_C02_015M","S1902_C01_016E","S1902_C01_016M","S1902_C02_016E","S1902_C02_016M","S1902_C01_017E","S1902_C01_017M","S1902_C02_017E","S1902_C02_017M","S1902_C01_018E","S1902_C01_018M","S1902_C02_018E","S1902_C02_018M","S1902_C01_019E","S1902_C01_019M","S1902_C02_019E","S1902_C02_019M","S1902_C01_020E","S1902_C01_020M","S1902_C02_020E","S1902_C02_020M","S1902_C01_021E","S1902_C01_021M","S1902_C02_021E","S1902_C02_021M","S1902_C01_022E","S1902_C01_022M","S1902_C02_022E","S1902_C02_022M","S1902_C01_023E","S1902_C01_023M","S1902_C02_023E","S1902_C02_023M","S1902_C01_024E","S1902_C01_024M","S1902_C02_024E","S1902_C02_024M","S1902_C01_025E","S1902_C01_025M","S1902_C02_025E","S1902_C02_025M","S1902_C01_026E","S1902_C01_026M","S1902_C02_026E","S1902_C02_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_027E","S1902_C02_027M",
"1400000US18105000601","Census Tract 6.01, Monroe County, Indiana","1357","155","34440","10754","73.7","7.2","32559","5529","18.8","6.8","2140","1176","16.9","4.7","13614","1547","6.0","3.6","6911","2049","9.1","5.2","1759","960","9.3","5.0","72346","104094","611","133","42908","22084","29.1","12.4","N","N","24.9","11.4","N","N","31.4","11.1","N","N","9.8","7.3","N","N","4.7","5.5","N","N","0.0","5.2","N","N","2733","453","17694","5850","96.5","2.8","17909","6098","1.7","1.7","19840","4649","0.0","1.2","-","**","0.0","1.2","-","**","0.0","1.2","-","**","0.0","1.2","-","**","1.8","2.2","N","N","2.3","2.6","N","N","94.2","3.6","18274","6130","23.7","-888888888.0","(X)","(X)","15.1","-888888888.0","(X)","(X)","16.7","-888888888.0","(X)","(X)",
"1400000US18105000602","Census Tract 6.02, Monroe County, Indiana","1281","183","26807","4695","74.2","11.2","29206","5242","9.1","4.8","6701","7976","22.1","7.6","10766","1494","4.0","3.8","5941","2055","1.1","1.7","914","17","6.6","3.7","8646","5685","329","110","42684","14075","26.7","19.0","N","N","26.7","18.2","N","N","36.5","18.3","N","N","10.0","10.6","N","N","0.0","9.4","N","N","0.0","9.4","N","N","3183","480","12065","2639","88.7","7.9","12243","2837","9.5","7.6","11823","7548","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","1.8","2.1","4631","7952","0.0","1.0","-","**","88.7","7.9","12243","2837","28.8","-888888888.0","(X)","(X)","13.4","-888888888.0","(X)","(X)","25.2","-888888888.0","(X)","(X)",
"1400000US18105000700","Census Tract 7, Monroe County, Indiana","1230","117","69156","7673","76.2","5.3","70027","9335","40.9","7.7","10469","7209","33.0","5.9","15785","1748","0.0","2.6","-","**","1.0","1.5","258","14","19.5","6.3","23205","7451","932","95","76890","9842","17.7","4.8","47565","8958","30.8","7.9","61617","20372","29.9","7.4","101325","15581","10.2","6.0","100036","46927","11.4","5.7","78832","22334","0.0","3.4","-","**","3029","251","28369","3035","92.3","5.3","29654","3497","3.7","3.9","18286","7957","0.0","1.1","-","**","2.0","2.4","7253","5640","0.0","1.1","-","**","0.9","1.2","N","N","1.1","1.9","N","N","4.2","4.0","12909","6373","89.9","5.6","30070","3573","17.6","-888888888.0","(X)","(X)","15.2","-888888888.0","(X)","(X)","10.7","-888888888.0","(X)","(X)",
"1400000US18105000800","Census Tract 8, Monroe County, Indiana","2499","208","57921","7163","77.0","4.3","52871","6174","35.5","7.1","17082","7056","27.6","4.2","18489","2081","1.8","1.7","14333","4602","0.4","0.6","764","17","17.4","4.8","29743","8312","1349","165","77924","9441","18.1","5.4","N","N","27.5","7.9","N","N","46.8","8.2","N","N","3.6","3.5","N","N","3.2","2.8","N","N","0.7","1.2","N","N","5279","505","28708","3438","81.2","4.6","31972","3470","7.5","4.4","8671","9246","0.0","0.6","-","**","9.7","2.9","17454","11319","0.0","0.6","-","**","0.0","0.6","-","**","1.6","1.6","25002","39137","2.7","2.5","15912","19222","79.4","4.6","32150","3509","27.6","-888888888.0","(X)","(X)","22.0","-888888888.0","(X)","(X)","23.3","-888888888.0","(X)","(X)",
"1400000US18105000901","Census Tract 9.01, Monroe County, Indiana","1260","75","69448","13443","85.4","3.9","58341","13012","31.4","6.6","22350","15566","22.9","4.1","22409","3666","0.0","2.5","-","**","0.0","2.5","-","**","16.0","5.4","44967","24669","626","126","105683","23582","15.7","6.2","N","N","40.4","13.3","N","N","25.6","12.5","N","N","14.2","9.8","N","N","1.1","2.2","N","N","3.0","4.3","N","N","2911","331","31089","6156","88.7","6.9","33274","6934","1.1","2.7","N","N","0.0","1.1","-","**","7.9","5.7","10660","5746","0.0","1.1","-","**","0.0","1.1","-","**","2.3","2.6","16585","17306","9.0","6.6","24444","12634","79.7","8.4","34267","7463","27.0","-888888888.0","(X)","(X)","31.0","-888888888.0","(X)","(X)","20.2","-888888888.0","(X)","(X)",
"1400000US18105000903","Census Tract 9.03, Monroe County, Indiana","2226","223","44752","6843","76.0","6.4","45901","8639","33.6","6.7","4761","4238","19.9","3.6","15616","2220","1.7","1.7","9561","2318","1.6","1.5","2714","2489","12.0","4.3","29134","8802","895","138","68993","14254","9.1","5.2","N","N","37.1","12.6","N","N","50.6","12.6","N","N","3.2","3.6","N","N","0.0","3.6","N","N","0.0","3.6","N","N","4323","487","23835","3825","78.6","6.6","26062","4089","1.5","1.9","21631","9704","0.0","0.7","-","**","12.6","5.7","13295","8562","0.0","0.7","-","**","6.3","5.3","9850","5571","1.0","1.1","73477","79247","3.4","3.3","17634","24676","77.0","6.6","25904","4244","22.8","-888888888.0","(X)","(X)","18.5","-888888888.0","(X)","(X)","17.2","-888888888.0","(X)","(X)",
"1400000US18105000904","Census Tract 9.04, Monroe County, Indiana","2230","153","61461","8870","72.6","6.6","56712","9131","33.5","4.9","25048","12969","17.8","2.8","18301","2307","1.5","1.2","12194","8231","0.6","0.7","1215","11","14.0","3.2","49045","37701","1084","144","100896","14153","19.6","5.5","N","N","29.2","8.7","N","N","42.2","10.2","N","N","5.4","4.7","N","N","2.4","2.4","N","N","1.2","1.5","N","N","5561","577","25562","4218","76.1","6.9","30258","5054","4.7","3.6","25815","19535","0.0","0.6","-","**","16.9","5.8","6600","3303","0.0","0.6","-","**","0.5","0.6","17038","14746","1.7","1.4","5832","2831","3.2","2.6","8146","4215","74.4","7.2","30763","5113","26.8","-888888888.0","(X)","(X)","24.0","-888888888.0","(X)","(X)","23.8","-888888888.0","(X)","(X)",
"1400000US18105001001","Census Tract 10.01, Monroe County, Indiana","1964","118","104672","14302","84.6","3.4","98384","16253","55.9","5.8","15849","6176","24.5","3.2","21179","2545","1.9","1.5","12924","3233","1.0","1.1","12826","6262","17.3","3.5","34716","9252","1491","114","121453","17432","13.6","3.5","86233","31017","26.9","7.1","111638","23995","46.7","7.4","149361","34236","9.7","6.1","52352","27743","3.1","2.4","155891","64315","0.0","2.2","-","**","4989","351","41776","6474","87.0","4.7","45093","7539","1.8","1.9","25689","35012","0.8","1.0","84832","70366","4.5","1.9","13173","7273","0.0","0.6","-","**","4.4","3.4","15803","5245","1.5","1.4","7457","11134","4.0","3.1","23397","17597","86.1","4.8","45119","7639","21.6","-888888888.0","(X)","(X)","18.4","-888888888.0","(X)","(X)","13.5","-888888888.0","(X)","(X)",
"1400000US18105001002","Census Tract 10.02, Monroe County, Indiana","2484","196","78164","10155","83.5","4.3","73947","9058","39.1","5.5","17469","10560","22.6","3.8","18435","3256","0.5","0.9","18746","12","0.0","1.3","-","**","19.6","4.9","20693","5877","1328","146","107098","18042","8.7","4.9","64219","21700","34.7","9.8","82759","42413","38.1","7.9","122892","21298","2.7","2.8","190447","142769","12.2","4.7","138486","27292","3.6","2.8","108623","21954","5958","548","32760","4402","86.3","5.4","34657","5133","1.8","1.7","27987","24742","0.1","0.2","N","N","9.2","4.4","19408","9928","0.0","0.5","-","**","1.7","1.4","9760","7780","0.9","1.0","36011","31836","3.4","2.3","34569","39323","83.9","5.7","34353","5204","20.6","-888888888.0","(X)","(X)","14.5","-888888888.0","(X)","(X)","16.0","-888888888.0","(X)","(X)",
"1400000US18105001101","Census Tract 11.01, Monroe County, Indiana","2550","139","36451","6463","79.3","4.5","39330","8318","19.8","5.3","3262","1929","17.8","3.4","14178","2544","2.6","1.8","6591","3223","1.9","1.8","4477","2016","7.7","3.7","12049","4206","1103","155","45698","9557","23.9","9.2","N","N","43.3","12.2","N","N","18.9","7.7","N","N","8.5","6.2","N","N","1.8","3.0","N","N","3.5","3.8","N","N","5112","472","18720","3428","82.5","5.6","20413","4279","5.4","3.4","9435","4578","1.0","1.0","N","N","4.9","2.7","13945","10028","0.0","0.6","-","**","0.0","0.6","-","**","6.1","3.2","10086","3458","0.3","0.5","N","N","82.3","5.5","20469","4292","22.8","-888888888.0","(X)","(X)","14.0","-888888888.0","(X)","(X)","18.7","-888888888.0","(X)","(X)",
