"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0500000US18105","Monroe County, Indiana","51388","916","38137","1511","90.7","0.7","40298","1751","2.7","0.4","26089","2422","0.3","0.1","19960","7515","4.4","0.4","15510","4634","0.1","0.1","-","-222222222","0.6","0.2","19833","26444","1.4","0.3","31058","10453","1.9","0.4","27542","17897","89.2","0.7","40451","1785","17.1","1.3","10029","1418","35.0","0.9","44652","2220","31.4","0.9","57673","3302","16.5","0.5","36922","2685","26849","744","60845","2112","43.2","1.7","56870","3620","56.8","1.7","63465","1877","76.8","1.6","71384","2784","17.2","1.5","25916","2020","6.0","0.9","34493","10072","24539","854","20854","1097","48.6","1.7","21518","1148","35.1","1.6","21720","1294","13.5","1.5","20742","3212","51.4","1.7","20004","1705","34.5","2.0","19979","2746","16.9","1.4","20103","4987","22.2","-888888888.0","(X)","-888888888","19.0","-888888888.0","(X)","(X)","25.0","-888888888.0","(X)","(X)",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","1739","225","9047","2790","91.4","5.7","9634","4377","2.6","3.7","-","-222222222","0.0","1.8","-","-222222222","3.9","3.2","13021","14056","0.0","1.8","-","-222222222","0.5","0.8","-","-222222222","1.7","2.0","-","-222222222","1.3","2.1","-","**","90.1","6.0","9363","3974","56.6","7.4","6412","2524","34.3","7.3","17083","13222","7.2","2.9","15208","10287","1.8","0.6","26406","269254","99","42","58393","44979","19.2","21.1","80521","32335","80.8","21.1","53971","79646","91.9","14.0","59821","54199","8.1","14.0","-","**","0.0","27.4","-","**","1640","228","8182","2300","39.6","7.2","8692","3015","27.5","8.0","8358","1876","12.1","5.4","15958","14898","60.4","7.2","7441","4630","30.3","7.1","3672","3949","30.1","8.1","15193","6320","26.2","-888888888.0","(X)","-888888888","8.1","-888888888.0","(X)","(X)","27.3","-888888888.0","(X)","(X)",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","727","114","15451","8916","32.0","11.8","18375","9938","0.0","4.4","-","-222222222","0.0","4.4","-","-222222222","68.0","11.8","12647","12471","0.0","4.4","-","-222222222","0.0","4.4","-","-222222222","0.0","4.4","-","-222222222","2.3","3.7","-","**","29.7","10.8","20085","5635","33.3","12.7","2,500-","-333333333","58.6","11.5","20127","4114","8.1","3.5","31146","53793","0.0","4.4","-","-222222222","330","88","18750","4228","60.9","15.3","22176","21769","39.1","15.3","7150","17348","73.6","12.2","20787","15401","11.2","7.6","16544","8992","15.2","10.3","4815","2160","397","108","6354","8989","42.8","15.9","2,500-","-333333333","17.6","12.4","2,500-","-333333333","25.2","13.7","22778","13659","57.2","15.9","6979","8110","26.2","11.4","2,500-","-333333333","31.0","17.4","20417","21916","19.0","-888888888.0","(X)","-888888888","25.5","-888888888.0","(X)","(X)","13.6","-888888888.0","(X)","(X)",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","174","60","5000","4141","60.3","22.6","8854","15025","8.0","12.0","-","-222222222","4.0","7.3","-","-222222222","27.6","18.0","3958","3602","0.0","17.0","-","-222222222","0.0","17.0","-","-222222222","0.0","17.0","-","-222222222","6.9","11.5","-","**","53.4","24.5","10139","24128","55.2","19.7","2,500-","-333333333","27.0","20.8","4760","6709","17.8","14.0","10694","12871","0.0","17.0","-","-222222222","6","11","2,500-","-333333333","0.0","100.0","-","-222222222","100.0","100.0","2,500-","-333333333","0.0","100.0","-","-222222222","100.0","100.0","2,500-","***","0.0","100.0","-","**","168","61","5395","4440","56.5","22.3","4940","23858","39.3","23.4","3214","2529","17.3","24.4","-","-222222222","43.5","22.3","5875","3971","43.5","22.3","5875","3971","0.0","17.5","-","-222222222","23.6","-888888888.0","(X)","-888888888","0.0","-888888888.0","(X)","(X)","24.4","-888888888.0","(X)","(X)",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","1963","145","29250","2880","91.7","3.7","31282","3924","0.0","1.6","-","-222222222","0.5","0.7","-","-222222222","6.3","3.8","3953","16279","0.0","1.6","-","-222222222","0.6","1.0","-","-222222222","0.9","1.2","9545","18005","2.9","2.9","2,500-","***","88.9","4.5","32168","3834","34.3","6.4","6184","3886","36.4","5.0","36157","12710","19.0","4.0","33750","6445","10.3","1.7","51429","24327","451","112","73242","23802","42.4","11.2","75350","40723","57.6","11.2","72969","27418","76.9","14.3","73164","28145","13.1","11.2","22031","29696","10.0","8.9","89509","141109","1512","182","20938","5498","49.9","10.1","22561","4217","33.7","8.8","23365","10407","16.1","6.6","21970","3232","50.1","10.1","17384","15925","30.7","8.1","31204","7283","19.4","7.3","4849","5415","25.7","-888888888.0","(X)","-888888888","19.5","-888888888.0","(X)","(X)","25.9","-888888888.0","(X)","(X)",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1180","114","47833","9884","94.4","4.0","49167","10760","0.0","2.7","-","-222222222","0.0","2.7","-","-222222222","3.6","3.1","32639","61898","0.0","2.7","-","-222222222","0.0","2.7","-","-222222222","1.9","2.2","60104","122398","4.3","5.1","60906","22291","90.1","6.5","47244","8756","23.3","7.1","5750","9558","25.0","7.9","61406","22561","30.1","6.8","46776","22466","21.6","4.1","76827","10771","493","94","64844","13331","36.1","11.7","46667","13528","63.9","11.7","79844","37985","66.3","13.0","94531","30107","27.0","11.8","51328","33044","6.7","7.3","43036","61537","687","127","30052","17142","42.5","11.2","27188","21170","28.2","9.4","60636","31219","14.3","7.9","4861","6390","57.5","11.2","30250","26598","24.0","9.9","21607","24683","33.5","10.2","45132","65990","30.2","-888888888.0","(X)","-888888888","24.3","-888888888.0","(X)","(X)","26.9","-888888888.0","(X)","(X)",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","1787","132","27911","3536","91.7","3.9","27570","4266","4.6","3.3","42411","38962","0.2","0.5","-","-222222222","2.2","2.0","16136","13523","0.0","1.8","-","-222222222","0.0","1.8","-","-222222222","1.3","1.8","-","-222222222","5.0","3.3","18125","12360","87.9","5.1","27631","4074","13.3","5.0","21000","12343","40.6","6.9","29343","4446","31.4","5.2","28875","10980","14.7","3.2","26336","5891","556","143","36000","17600","46.4","10.8","24302","10231","53.6","10.8","49762","12028","65.5","10.4","49643","9165","33.8","10.4","22661","9879","0.7","1.7","-","**","1231","158","21804","5966","53.8","9.3","22222","9856","43.1","8.9","26111","9713","10.7","5.5","15682","9406","46.2","9.3","21541","6869","36.5","8.9","17604","7458","9.7","5.1","34118","15346","15.3","-888888888.0","(X)","-888888888","3.6","-888888888.0","(X)","(X)","17.9","-888888888.0","(X)","(X)",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","1917","134","33597","5449","85.7","4.8","32806","5380","8.0","3.8","17311","47825","0.5","0.8","-","-222222222","2.3","1.8","61875","40207","1.4","2.0","-","-222222222","0.0","1.7","-","-222222222","2.2","1.9","29792","29904","3.2","3.2","21513","36053","83.3","5.3","33980","5531","23.3","6.5","20288","18439","50.0","6.8","36754","6603","19.6","4.4","53477","8347","7.1","3.0","23333","48192","773","139","40993","13657","45.5","10.2","40147","13821","54.5","10.2","49821","27887","70.8","10.5","59361","9822","23.4","9.9","22679","16619","5.8","5.1","26094","44348","1144","166","25333","7113","42.1","8.9","22955","3461","32.3","8.9","20877","4431","9.8","4.8","34773","14327","57.9","8.9","30972","18888","37.8","9.4","21223","10448","20.1","8.8","54737","10513","19.0","-888888888.0","(X)","-888888888","22.6","-888888888.0","(X)","(X)","16.6","-888888888.0","(X)","(X)",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","1762","125","45820","4765","87.1","5.0","43900","4651","9.3","4.8","58750","37293","0.0","1.8","-","-222222222","1.7","1.8","59167","43592","0.0","1.8","-","-222222222","0.6","1.0","-","-222222222","1.4","1.5","56579","5279","2.7","2.2","81818","45066","84.9","5.5","43800","4830","10.8","4.4","22398","13031","38.1","5.5","58281","8309","32.6","5.3","53278","4536","18.4","3.0","32375","18270","1226","108","56852","6834","45.7","6.3","46818","19072","54.3","6.3","60802","5355","79.2","6.8","60599","5774","15.3","6.0","21250","17574","5.5","3.4","56354","36166","536","116","21721","5885","72.6","11.2","18523","5840","63.4","11.8","16923","4634","9.1","6.5","28313","19094","27.4","11.2","34766","8445","20.0","9.6","33125","13293","7.5","5.5","61071","45853","15.6","-888888888.0","(X)","-888888888","15.8","-888888888.0","(X)","(X)","15.1","-888888888.0","(X)","(X)",
