"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"1400000US18105000502","Census Tract 5.02, Monroe County, Indiana","2311","197","195","73","904","177","654","170","326","105","232","85","1983","186","154","61","801","168","579","154","270","103","179","72","212","96","11","17","59","52","56","52","47","51","39","47","72","48","30","38","33","31","0","119","9","14","0","119","44","51","0","119","11","16","19","28","0","119","14","21","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105000601","Census Tract 6.01, Monroe County, Indiana","1726","224","249","112","519","158","401","119","334","132","223","98","1151","214","192","104","317","124","253","110","204","94","185","90","440","162","35","33","171","92","127","80","69","56","38","32","52","42","0","119","31","30","21","24","0","119","0","119","83","63","22","33","0","119","0","119","61","56","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105000602","Census Tract 6.02, Monroe County, Indiana","1324","249","186","99","413","148","327","141","186","115","212","205","802","201","101","69","261","105","266","124","116","83","58","47","293","213","29","33","104","85","15","23","15","23","130","199","80","95","56","84","0","119","0","119","0","119","24","40","149","155","0","119","48","66","46","62","55","78","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105000700","Census Tract 7, Monroe County, Indiana","2167","200","193","77","413","112","563","109","500","122","498","133","2025","202","180","76","403","110","516","110","460","120","466","132","52","46","0","119","10","16","20","33","12","20","10","17","57","57","0","119","0","119","17","25","28","26","12","19","10","17","0","119","0","119","0","119","0","119","10","17","23","36","13","22","0","119","10","15","0","119","0","119",
"1400000US18105000800","Census Tract 8, Monroe County, Indiana","3551","364","215","132","383","123","668","162","1041","217","1244","231","2760","390","113","76","326","123","529","133","785","170","1007","241","332","141","89","84","33","30","37","44","115","79","58","50","95","88","0","119","24","31","16","26","55","70","0","119","272","165","13","21","0","119","86","80","18","29","155","98","92","73","0","119","0","119","0","119","68","69","24","36",
"1400000US18105000901","Census Tract 9.01, Monroe County, Indiana","1783","227","209","166","180","95","314","95","461","121","619","116","1388","223","192","165","138","73","250","76","297","98","511","103","88","72","0","119","13","20","35","45","40","35","0","119","46","71","17","26","29","45","0","119","0","119","0","119","204","131","0","119","0","119","29","46","84","67","91","60","57","66","0","119","0","119","0","119","40","61","17","26",
"1400000US18105000903","Census Tract 9.03, Monroe County, Indiana","2555","240","72","64","274","156","469","135","749","187","991","227","2062","227","72","64","216","123","314","108","660","187","800","197","302","163","0","119","58","57","115","115","67","59","62","62","21","33","0","119","0","119","0","119","7","26","14","22","105","75","0","119","0","119","26","39","15","23","64","51","65","88","0","119","0","119","14","23","0","119","51","84",
"1400000US18105000904","Census Tract 9.04, Monroe County, Indiana","2538","263","49","44","291","88","303","88","908","177","987","174","1914","181","39","38","271","84","268","86","562","116","774","140","310","161","0","119","20","22","9","16","148","125","133","77","47","65","0","119","0","119","0","119","47","65","0","119","195","139","10","16","0","119","13","20","108","92","64","67","72","69","0","119","0","119","13","19","43","49","16","24",
"1400000US18105001001","Census Tract 10.01, Monroe County, Indiana","3299","198","58","48","284","104","469","132","878","170","1610","192","2944","200","50","46","241","95","434","126","751","153","1468","181","241","105","0","119","43","55","22","27","57","54","119","87","16","24","0","119","0","119","0","119","16","24","0","119","85","77","8","13","0","119","0","119","54","67","23","27","13","21","0","119","0","119","13","21","0","119","0","119",
"1400000US18105001002","Census Tract 10.02, Monroe County, Indiana","3987","364","96","70","317","106","954","242","1265","231","1355","248","3211","327","96","70","269","96","809","216","952","197","1085","199","396","190","0","119","40","62","94","96","223","160","39","45","97","58","0","119","8","14","20","26","30","31","39","37","252","130","0","119","0","119","0","119","60","56","192","113","31","51","0","119","0","119","31","51","0","119","0","119",
"1400000US18105001101","Census Tract 11.01, Monroe County, Indiana","3124","264","350","117","694","219","726","191","536","160","818","207","2068","332","323","114","464","173","416","147","346","148","519","181","610","192","27","34","126","94","210","110","72","70","175","135","114","90","0","119","33","41","81","82","0","119","0","119","332","154","0","119","71","63","19","29","118","78","124","74","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001102","Census Tract 11.02, Monroe County, Indiana","2439","258","203","107","496","153","792","189","599","169","349","109","1858","212","120","68","412","127","585","156","478","138","263","81","352","166","27","44","71","60","153","119","60","41","41","45","127","96","56","75","0","119","46","55","25","28","0","119","89","72","0","119","0","119","8","15","36","43","45","47","13","21","0","119","13","21","0","119","0","119","0","119",
"1400000US18105001103","Census Tract 11.03, Monroe County, Indiana","2073","219","151","70","830","173","587","144","330","121","175","75","1900","224","144","71","739","171","521","140","330","121","166","77","77","65","7","11","37","46","24","30","0","119","9","15","96","142","0","119","54","81","42","62","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001200","Census Tract 12, Monroe County, Indiana","3825","216","367","135","1639","267","1086","199","431","125","302","96","3573","223","367","135","1573","251","945","196","386","124","302","96","172","98","0","119","66","53","61","54","45","53","0","119","52","48","0","119","0","119","52","48","0","119","0","119","28","34","0","119","0","119","28","34","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001301","Census Tract 13.01, Monroe County, Indiana","3688","354","571","193","1663","251","899","209","400","134","155","90","3336","401","555","192","1479","279","794","183","370","133","138","86","243","135","16","25","151","117","42","39","17","23","17","25","96","84","0","119","33","34","63","79","0","119","0","119","13","22","0","119","0","119","0","119","13","22","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001303","Census Tract 13.03, Monroe County, Indiana","3790","274","453","156","1206","226","847","148","848","192","436","137","3370","250","354","184","1122","221","766","141","740","182","388","133","262","136","99","101","51","47","65","53","39","36","8","13","88","68","0","119","33","33","16","25","36","33","3","7","70","54","0","119","0","119","0","119","33","36","37","32","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001304","Census Tract 13.04, Monroe County, Indiana","2356","232","147","86","808","171","861","144","355","142","185","63","2002","220","136","86","718","173","735","134","241","98","172","63","230","103","11","19","47","38","81","53","91","73","0","119","111","86","0","119","43","44","45","41","23","39","0","119","13","22","0","119","0","119","0","119","0","119","13","22","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001305","Census Tract 13.05, Monroe County, Indiana","1635","186","147","101","526","109","565","132","283","84","114","51","1421","146","110","83","455","101","475","121","267","82","114","51","123","81","37","44","51","34","26","25","9","15","0","119","27","34","0","119","20","32","0","119","7","11","0","119","64","59","0","119","0","119","64","59","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001401","Census Tract 14.01, Monroe County, Indiana","1583","166","80","60","509","151","566","164","243","93","185","79","1459","163","47","35","499","152","515","154","213","80","185","79","56","51","16","25","10","16","0","119","30","47","0","119","68","78","17","28","0","119","51","65","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001402","Census Tract 14.02, Monroe County, Indiana","3787","264","587","200","1003","297","872","175","702","180","623","184","3477","278","573","193","938","287","837","163","586","166","543","154","237","140","14","24","55","52","35","48","88","70","45","48","48","60","0","119","10","16","0","119","14","22","24","53","14","22","0","119","0","119","0","119","14","22","0","119","11","18","0","119","0","119","0","119","0","119","11","18",
"1400000US18105001501","Census Tract 15.01, Monroe County, Indiana","3373","226","515","232","1029","194","877","231","484","135","468","150","3101","258","515","232","1029","194","702","198","431","132","424","141","224","170","0","119","0","119","160","156","31","32","33","38","26","31","0","119","0","119","15","24","0","119","11","17","22","33","0","119","0","119","0","119","22","33","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105001502","Census Tract 15.02, Monroe County, Indiana","1765","248","171","75","529","194","543","147","245","125","277","124","1482","227","160","68","460","156","440","124","196","114","226","116","50","67","0","119","0","119","50","67","0","119","0","119","145","108","11","19","69","79","39","50","0","119","26","31","76","64","0","119","0","119","14","21","49","49","13","21","12","19","0","119","0","119","0","119","0","119","12","19",
"1400000US18105001600","Census Tract 16, Monroe County, Indiana","549","207","31","33","68","62","84","77","250","170","116","75","355","134","17","25","20","24","70","74","148","106","100","70","67","61","14","21","18","31","14","22","21","26","0","119","14","20","0","119","14","20","0","119","0","119","0","119","113","133","0","119","16","26","0","119","81","126","16","25","0","119","0","119","0","119","0","119","0","119","0","119",
