"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"1400000US18105001102","Census Tract 11.02, Monroe County, Indiana","3040","251","257","121","640","170","839","149","684","132","620","159","2347","224","186","118","475","156","624","137","513","124","549","150","412","121","49","47","102","54","104","54","119","56","38","30","176","100","20","18","48","53","63","60","15","25","30","30","93","65","2","7","3","6","48","52","37","26","3","7","12","20","0","11","12","20","0","11","0","11","0","11",
"1400000US18105001103","Census Tract 11.03, Monroe County, Indiana","2007","212","242","96","710","182","428","116","335","122","292","106","1891","226","234","93","660","176","422","115","283","105","292","106","58","59","8","14","50","57","0","11","0","11","0","11","58","79","0","11","0","11","6","10","52","78","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1400000US18105001200","Census Tract 12, Monroe County, Indiana","4381","312","392","165","1552","272","1168","243","829","172","440","146","3921","320","360","159","1362","246","1046","221","748","168","405","151","346","176","32","50","117","121","102","83","60","47","35","38","93","94","0","16","73","88","20","33","0","16","0","16","21","35","0","16","0","16","0","16","21","35","0","16","0","16","0","16","0","16","0","16","0","16","0","16",
"1400000US18105001301","Census Tract 13.01, Monroe County, Indiana","4251","258","515","157","1512","285","1547","252","436","142","241","104","3955","268","500","156","1343","253","1475","253","407","142","230","106","154","132","15","23","88","122","45","52","6","8","0","16","142","108","0","16","81","86","27","32","23","27","11","18","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16",
"1400000US18105001303","Census Tract 13.03, Monroe County, Indiana","4292","279","315","168","959","194","1259","261","1126","216","633","183","3749","344","256","117","748","176","1097","255","1015","212","633","183","409","191","59","82","112","68","148","94","90","71","0","16","83","85","0","16","83","85","0","16","0","16","0","16","51","57","0","16","16","25","14","22","21","34","0","16","0","16","0","16","0","16","0","16","0","16","0","16",
"1400000US18105001304","Census Tract 13.04, Monroe County, Indiana","2808","307","260","118","1012","219","876","172","454","138","206","91","2480","317","219","86","887","208","784","173","422","138","168","79","265","110","12","19","114","90","79","61","32","29","28","35","24","27","0","11","11","18","13","21","0","11","0","11","39","46","29","43","0","11","0","11","0","11","10","15","0","11","0","11","0","11","0","11","0","11","0","11",
"1400000US18105001305","Census Tract 13.05, Monroe County, Indiana","1652","118","177","60","365","81","484","95","453","101","173","54","1486","128","170","58","351","83","438","92","401","97","126","50","73","53","0","11","7","12","25","26","17","19","24","25","30","31","7","16","7","11","0","11","10","16","6","10","63","46","0","11","0","11","21","20","25","22","17","18","0","11","0","11","0","11","0","11","0","11","0","11",
"1400000US18105001401","Census Tract 14.01, Monroe County, Indiana","1531","160","119","58","658","118","389","123","162","43","203","59","1390","152","119","58","615","113","316","92","148","44","192","57","71","45","0","11","26","23","34","27","8","12","3","5","8","12","0","11","0","11","0","11","0","11","8","12","62","58","0","11","17","20","39","52","6","9","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1400000US18105001402","Census Tract 14.02, Monroe County, Indiana","4329","310","403","209","1027","276","861","181","1015","267","1023","228","3925","305","383","201","894","251","664","182","961","266","1023","228","249","140","20","30","38","64","137","105","54","51","0","16","105","85","0","16","68","64","37","57","0","16","0","16","50","56","0","16","27","44","23","36","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16",
"1400000US18105001501","Census Tract 15.01, Monroe County, Indiana","3912","343","365","185","1047","273","869","187","1014","235","617","162","3407","352","312","123","891","256","778","158","832","207","594","167","103","91","0","16","31","36","24","36","48","69","0","16","143","125","53","83","0","16","67","94","23","38","0","16","259","174","0","16","125","118","0","16","111","108","23","38","0","16","0","16","0","16","0","16","0","16","0","16",
"1400000US18105001502","Census Tract 15.02, Monroe County, Indiana","2245","230","165","80","613","133","661","137","509","122","297","87","1922","243","154","70","499","127","572","142","425","112","272","86","46","41","0","11","26","28","0","11","20","22","0","11","150","100","11","19","49","42","46","50","19","25","25","26","107","123","0","11","39","55","43","60","25","41","0","11","20","30","0","11","0","11","0","11","20","30","0","11",
"1400000US18105001600","Census Tract 16, Monroe County, Indiana","737","194","2","5","115","81","232","94","149","86","239","131","529","167","1","3","79","73","172","76","119","81","158","104","122","98","0","16","36","38","30","34","0","16","56","74","30","32","1","3","0","16","15","23","14","23","0","16","36","50","0","16","0","16","15","25","13","22","8","16","20","31","0","16","0","16","0","16","3","8","17","30",
